isin	wkn	ticker	valor	name	inception_date	age_in_days	age_in_years	strategy	domicile_country	currency	hedged	securities_lending	dividends	ter	replication	size	is_sustainable	number_of_holdings	yesterday	last_week	last_month	last_three_months	last_six_months	last_year	last_three_years	last_five_years	2023	2022	2021	2020	last_dividends	last_year_dividends	last_year_volatility	last_three_years_volatility	last_five_years_volatility	last_year_return_per_risk	last_three_years_return_per_risk	last_five_years_return_per_risk	max_drawdown	last_year_max_drawdown	last_three_years_max_drawdown	last_five_years_max_drawdown
IE00BYVJRR92	A2AFC0	QDVR	31608368	iShares MSCI USA SRI UCITS ETF USD (Acc)	2016-07-11	3005	8.232876712328768	Long-only	Ireland	USD	False	False	Accumulating	0.2	Full replication	4928	True	177	11.4	-0.14	1.49	2.51	2.59	19.21	33.86	100.42	19.5	-13.62	41.34	15.68			13.68	18.14	21.58	1.4	0.56	0.69	-33.06	-9.23	-18.24	-33.06
DE000A2T0VU5	A2T0VU	XGDU		Xtrackers IE Physical Gold ETC Securities	2020-04-22	1624	4.449315068493151	Long-only	Ireland	USD	False	False	Accumulating	0.11	Physically backed	4901	False		28.86	1.7	6.21	11.04	17.15	36.25	58.41		9.43	6.99	3.8				14.54	14.46		2.49	1.15		-18.95	-5.96	-11.75	
LU0490618542	DBX0F2	D5BM	11138249	Xtrackers S&P 500 Swap UCITS ETF 1C	2010-03-26	5304	14.531506849315068	Long-only	Luxembourg	USD	False	False	Accumulating	0.15	Swap based Unfunded	4894	False		20.46	0.07	1.23	1.41	6.57	28.94	43.05	105.76	21.7	-13.18	39.31	8.38			13.06	18.13	21.61	2.21	0.7	0.72	-33.69	-9.08	-17.25	-33.69
IE00B60SX394	A0RGCS	SC0J	10128224	Invesco MSCI World UCITS ETF Acc	2009-04-02	5662	15.512328767123288	Long-only	Ireland	USD	False	False	Accumulating	0.19	Swap based Unfunded	4864	False		17.59	0.24	1.03	2.04	5.56	25.64	34.49	83.02	19.66	-12.96	32.12	6.28			11.45	15.38	18.33	2.23	0.67	0.7	-33.86	-8.75	-16.92	-33.86
IE000KXCEXR3	ETF093	F500	129574691	Amundi S&P 500 ESG UCITS ETF UCITS ETF Acc	2016-06-29	3017	8.265753424657534	Long-only	Ireland	EUR	False	False	Accumulating	0.12	Full replication	4787	True	313	20.49	0.2	0.87	0.8	6.9																-9.13			
IE00B4WXJJ64	A0RL83	EUNH	10127508	iShares Core Euro Government Bond UCITS ETF (Dist)	2009-04-17	5647	15.471232876712328	Long-only	Ireland	EUR	False	True	Distributing	0.07	Sampling	4759	False	493	2.55	0.7	1.92	5.08	3.24	9.91	-11.23	-12.05	7.04	-18.5	-3.51	4.75	1.76	1.9	5.29	7.28	6.26	1.87	-0.53	-0.4	-22.56	-3.55	-21.01	-22.56
FR0013416716	A2UJK0	GLDA		Amundi Physical Gold ETC (C)	2019-05-21	1961	5.372602739726028	Long-only	Ireland	USD	False	False	Accumulating	0.12	Physically backed	4736	False		28.89	1.69	6.21	11.05	17.14	36.22	58.41	76.25	9.72	5.61	4.88	13.0			14.54	14.54	15.07	2.48	1.14	0.8	-18.3	-5.96	-11.76	-18.3
IE00B2NPKV68	A0NECU	IUS7	3801845	iShares J.P. Morgan USD Emerging Markets Bond UCITS ETF (Dist)	2008-02-15	6074	16.64109589041096	Long-only	Ireland	USD	False	True	Distributing	0.45	Sampling	4680	False	631	8.82	1.31	2.56	4.59	4.38	14.42	3.37	2.21	6.75	-13.31	6.17	-3.48	5.91	6.36	7.0	8.88	9.82	2.05	0.12	0.04	-22.68	-2.51	-15.77	-22.5
LU2572257124	ETF018	AHYQ	124831396	Amundi MSCI World III UCITS ETF Dist	2008-11-27	5788	15.857534246575343	Long-only	Luxembourg	USD	False	False	Distributing	0.2	Swap based Unfunded	4659	False		17.63	0.23	1.01	2.02	5.54	25.71	34.43	82.98	19.67	-13.11	32.58	5.85	1.64	2.02	11.59	15.44	19.41	2.21	0.67	0.66	-37.75	-8.76	-16.97	-37.75
LU0274211480	DBX1DA	DBXD	2825575	Xtrackers DAX UCITS ETF 1C	2007-01-10	6475	17.73972602739726	Long-only	Luxembourg	EUR	False	True	Accumulating	0.09	Full replication	4621	False	40	14.02	1.02	1.49	4.89	3.3	24.11	24.6	52.7	19.67	-12.84	15.34	3.02			11.73	17.04	20.48	2.05	0.45	0.43	-54.86	-8.23	-26.76	-38.79
